=== Font Debug Output (PID: 84546) ===
Total fonts: 977

  73: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=3 | Normal-200-FontStretch(1000)
  74: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=4 | Normal-300-FontStretch(1000)
  75: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=5 | Normal-500-FontStretch(1000)
  76: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=6 | Normal-400-FontStretch(1000)
  77: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=7 | Normal-600-FontStretch(1000)
  78: Noto Serif Myanmar | /System/Library/Fonts/NotoSerifMyanmar.ttc | idx=8 | Normal-100-FontStretch(1000)
  79: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=0 | Normal-400-FontStretch(1000)
  80: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=1 | Normal-700-FontStretch(1000)
  81: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=2 | Italic-400-FontStretch(1000)
  82: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=3 | Italic-700-FontStretch(1000)
  83: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=4 | Normal-700-FontStretch(750)
  84: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=5 | Normal-100-FontStretch(1000)
  85: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=6 | Italic-100-FontStretch(1000)
  86: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=7 | Normal-300-FontStretch(1000)
  87: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=8 | Italic-300-FontStretch(1000)
  88: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=9 | Normal-900-FontStretch(750)
  89: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=10 | Normal-500-FontStretch(1000)
  90: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=11 | Italic-500-FontStretch(1000)
  91: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=12 | Normal-200-FontStretch(1000)
  92: Helvetica Neue | /System/Library/Fonts/HelveticaNeue.ttc | idx=13 | Italic-200-FontStretch(1000)
  93: SF NS Mono | /System/Library/Fonts/SFNSMono.ttf | idx=0 | Normal-295-FontStretch(1000)
  94: Hiragino Sans | /System/Library/Fonts/ヒラギノ角ゴシック W8.ttc | idx=0 | Normal-800-FontStretch(1000)
  95: Hiragino Kaku Gothic Interface | /System/Library/Fonts/ヒラギノ角ゴシック W8.ttc | idx=1 | Normal-800-FontStretch(1000)
  96: Hiragino Kaku Gothic Std | /System/Library/Fonts/ヒラギノ角ゴシック W8.ttc | idx=2 | Normal-800-FontStretch(1000)
  97: Hiragino Kaku Gothic StdN | /System/Library/Fonts/ヒラギノ角ゴシック W8.ttc | idx=3 | Normal-800-FontStretch(1000)
  98: Noteworthy | /System/Library/Fonts/Noteworthy.ttc | idx=0 | Normal-300-FontStretch(1000)
  99: Noteworthy | /System/Library/Fonts/Noteworthy.ttc | idx=1 | Normal-700-FontStretch(1000)
 100: Noto Sans Oriya | /System/Library/Fonts/NotoSansOriya.ttc | idx=0 | Normal-400-FontStretch(1000)
 101: Noto Sans Oriya | /System/Library/Fonts/NotoSansOriya.ttc | idx=1 | Normal-700-FontStretch(1000)
 102: Hiragino Sans | /System/Library/Fonts/ヒラギノ角ゴシック W9.ttc | idx=0 | Normal-900-FontStretch(1000)
 103: Hiragino Kaku Gothic Interface | /System/Library/Fonts/ヒラギノ角ゴシック W9.ttc | idx=1 | Normal-900-FontStretch(1000)
 104: ThonburiUI | /System/Library/Fonts/ThonburiUI.ttc | idx=0 | Normal-400-FontStretch(1000)
 105: ThonburiUIWatch | /System/Library/Fonts/ThonburiUI.ttc | idx=1 | Normal-400-FontStretch(1000)
 106: SF Georgian | /System/Library/Fonts/SFGeorgian.ttf | idx=0 | Normal-400-FontStretch(500)
 107: SF Hebrew | /System/Library/Fonts/SFHebrew.ttf | idx=0 | Normal-400-FontStretch(1000)
 108: Optima | /System/Library/Fonts/Optima.ttc | idx=0 | Normal-400-FontStretch(1000)
 109: Optima | /System/Library/Fonts/Optima.ttc | idx=1 | Normal-700-FontStretch(1000)
 110: Optima | /System/Library/Fonts/Optima.ttc | idx=2 | Italic-400-FontStretch(1000)
 111: Optima | /System/Library/Fonts/Optima.ttc | idx=3 | Italic-700-FontStretch(1000)
 112: Optima | /System/Library/Fonts/Optima.ttc | idx=4 | Normal-900-FontStretch(1000)
 113: Zapf Dingbats | /System/Library/Fonts/ZapfDingbats.ttf | idx=0 | Normal-400-FontStretch(1000)
 114: SF Armenian | /System/Library/Fonts/SFArmenian.ttf | idx=0 | Normal-400-FontStretch(1000)
 115: Apple Braille | /System/Library/Fonts/Apple Braille.ttf | idx=0 | Normal-400-FontStretch(1000)
 116: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=0 | Normal-700-FontStretch(750)
 117: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=1 | Italic-700-FontStretch(750)
 118: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=2 | Normal-600-FontStretch(750)
 119: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=3 | Italic-600-FontStretch(750)
 120: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=4 | Italic-400-FontStretch(750)
 121: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=5 | Normal-500-FontStretch(750)
 122: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=6 | Italic-500-FontStretch(750)
 123: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=7 | Normal-400-FontStretch(750)
 124: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=8 | Normal-900-FontStretch(750)
 125: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=9 | Italic-900-FontStretch(750)
 126: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=10 | Normal-275-FontStretch(750)
 127: Avenir Next | /System/Library/Fonts/Avenir Next Condensed.ttc | idx=11 | Italic-275-FontStretch(750)
 128: Lucida Grande | /System/Library/Fonts/LucidaGrande.ttc | idx=0 | Normal-500-FontStretch(1000)
 129: Lucida Grande | /System/Library/Fonts/LucidaGrande.ttc | idx=1 | Normal-600-FontStretch(1000)
 130: Lucida Grande UI | /System/Library/Fonts/LucidaGrande.ttc | idx=2 | Normal-500-FontStretch(1000)
 131: Lucida Grande UI | /System/Library/Fonts/LucidaGrande.ttc | idx=3 | Normal-600-FontStretch(1000)
 132: Courier | /System/Library/Fonts/Courier.ttc | idx=0 | Normal-400-FontStretch(1000)
 133: Courier | /System/Library/Fonts/Courier.ttc | idx=1 | Normal-400-FontStretch(1000)
 134: Courier | /System/Library/Fonts/Courier.ttc | idx=2 | Oblique-400-FontStretch(1000)
 135: Courier | /System/Library/Fonts/Courier.ttc | idx=3 | Oblique-400-FontStretch(1000)
 136: SF Compact | /System/Library/Fonts/SFCompact.ttf | idx=0 | Normal-900-FontStretch(1000)
 137: Apple Braille | /System/Library/Fonts/Apple Braille Outline 6 Dot.ttf | idx=0 | Normal-400-FontStretch(1000)
 138: Kohinoor Telugu | /System/Library/Fonts/KohinoorTelugu.ttc | idx=0 | Normal-400-FontStretch(1000)
 139: Kohinoor Telugu | /System/Library/Fonts/KohinoorTelugu.ttc | idx=1 | Normal-600-FontStretch(1000)
 140: Kohinoor Telugu | /System/Library/Fonts/KohinoorTelugu.ttc | idx=2 | Normal-500-FontStretch(1000)
 141: Kohinoor Telugu | /System/Library/Fonts/KohinoorTelugu.ttc | idx=3 | Normal-700-FontStretch(1000)
 142: Kohinoor Telugu | /System/Library/Fonts/KohinoorTelugu.ttc | idx=4 | Normal-300-FontStretch(1000)
